symbol,marketcapname_x,market_cap_x,industry_x,sector_x,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses,marketcapname_y,market_cap_y,industry_y,sector_y,signal,signal_date,last_close,fib_1d_direction,fib_1d_swing_high,fib_1d_swing_high_at,fib_1d_swing_low,fib_1d_swing_low_at,fib_15m_direction,fib_15m_swing_high,fib_15m_swing_high_at,fib_15m_swing_low,fib_15m_swing_low_at,fib_5m_direction,fib_5m_swing_high,fib_5m_swing_high_at,fib_5m_swing_low,fib_5m_swing_low_at
GAYAHWS,smallcap,54.16,construction,realty,True,,5,20,748.01,736.68,52.0,22.0,30.0,42.31,569.48,253.38,25.89,8.45,75.0,21.05,2.25,6.08,25.24,-7.06,3.58,0.76,0.8,63.7,30.69,-78.27,736.68,814.95,23.44,62.0,1.0,10.0,9.0,smallcap,54.16,construction,realty,buy,2026-06-23T00:00:00,2.25,up,2.31,2026-06-17 IST,2.02,2026-06-09 IST,down,2.28,2026-06-23 09:15 IST,2.19,2026-06-23 14:45 IST,down,2.28,2026-06-23 09:15 IST,2.21,2026-06-23 11:10 IST
DENORA,smallcap,376.41,electrodes - graphites,industrials,True,,20,50,13128.83,13118.71,62.0,30.0,32.0,48.39,1227.66,290.88,40.92,9.09,421.91,32.7,4.22,15.11,40.98,-8.35,4.91,0.67,0.94,74.29,22.64,6632.65,13118.71,6486.06,73.16,294.0,3.0,4.0,4.0,smallcap,376.41,electrodes - graphites,industrials,buy,2026-06-23T00:00:00,903.3,up,846.8,2026-06-15 IST,727.15,2026-06-12 IST,up,910.05,2026-06-23 14:45 IST,881.1,2026-06-23 12:45 IST,down,935.0,2026-06-23 09:20 IST,890.0,2026-06-23 11:30 IST
BSL,smallcap,130.23,textiles - processing,textiles,True,,5,20,11076.42,11066.15,170.0,74.0,96.0,43.53,1146.48,510.65,15.49,5.32,83.41,12.35,2.25,3.74,14.52,-3.81,3.81,0.68,0.97,62.22,21.78,197.49,11066.15,10868.66,23.15,88.0,1.0,6.0,10.0,smallcap,130.23,textiles - processing,textiles,buy,2026-06-23T00:00:00,131.0,down,130.0,2026-06-08 IST,120.01,2026-06-11 IST,down,135.11,2026-06-23 12:15 IST,129.0,2026-06-23 14:00 IST,down,135.11,2026-06-23 12:15 IST,131.0,2026-06-23 12:20 IST
TRIGYN,smallcap,180.34,computers - software - medium / small,i.t,True,,5,20,775.25,768.91,177.0,73.0,104.0,41.24,1287.57,794.15,17.64,7.64,120.89,26.08,1.62,2.79,16.31,-5.79,2.81,0.42,0.56,73.49,9.46,51.13,768.91,717.78,21.97,108.0,1.0,6.0,5.0,smallcap,180.34,computers - software - medium / small,i.t,buy,2026-06-23T00:00:00,54.52,up,59.07,2026-06-18 IST,52.32,2026-06-08 IST,down,56.98,2026-06-23 11:00 IST,54.65,2026-06-23 12:30 IST,down,58.0,2026-06-22 15:25 IST,56.13,2026-06-23 10:00 IST
PRITIKAUTO,smallcap,225.79,auto ancillaries,auto,True,,45,190,62.93,56.06,2.0,1.0,1.0,50.0,63.17,4.36,63.17,4.36,63.17,4.36,14.48,29.41,109.15,-11.6,9.41,0.46,0.63,47.6,9.68,-25.62,56.06,81.68,262.5,341.0,184.0,1.0,1.0,smallcap,225.79,auto ancillaries,auto,buy,2026-06-23T00:00:00,19.0,up,14.94,2026-06-10 IST,13.21,2026-06-08 IST,down,20.9,2026-06-22 09:15 IST,19.94,2026-06-22 11:30 IST,down,20.9,2026-06-22 09:15 IST,20.05,2026-06-22 09:50 IST
DICIND,smallcap,459.41,chemicals,chemicals,True,,5,40,429.79,423.95,112.0,38.0,74.0,33.93,559.3,308.17,14.72,4.16,66.55,14.69,1.81,2.24,11.3,-3.68,3.07,0.39,0.45,63.48,7.17,661.48,423.95,-237.52,38.82,168.0,2.0,4.0,9.0,smallcap,459.41,chemicals,chemicals,buy,2026-06-23T00:00:00,524.8,down,530.0,2026-06-01 IST,480.0,2026-06-10 IST,down,545.0,2026-06-22 14:30 IST,515.0,2026-06-23 14:00 IST,down,540.0,2026-06-22 15:25 IST,511.15,2026-06-23 14:45 IST
GOODYEAR,smallcap,1658.25,tyres,auto,True,,15,30,7862.21,7859.07,31.0,17.0,14.0,54.84,2876.8,69.18,169.22,4.94,2674.18,13.67,41.58,90.57,105.45,-3.39,31.07,0.21,4.45,48.19,17.3,2721.35,7859.07,5137.71,40.94,175.0,7.0,5.0,2.0,smallcap,1658.25,tyres,auto,buy,2026-06-23T00:00:00,758.35,up,759.8,2026-06-15 IST,711.25,2026-06-03 IST,up,778.95,2026-06-22 09:30 IST,747.1,2026-06-19 13:00 IST,up,778.95,2026-06-22 09:40 IST,751.05,2026-06-22 09:30 IST
BOROLTD,smallcap,2631.29,glass & glass products,building materials,True,,10,30,201.78,190.88,22.0,10.0,12.0,45.45,184.86,50.68,18.49,4.22,65.12,8.78,3.65,6.1,16.79,-3.71,4.53,0.73,0.97,31.85,19.95,28.78,190.88,162.1,41.64,125.0,2.0,3.0,4.0,smallcap,2631.29,glass & glass products,building materials,buy,2026-06-23T00:00:00,227.28,down,230.0,2026-06-10 IST,217.0,2026-06-11 IST,down,235.42,2026-06-23 09:30 IST,225.44,2026-06-23 12:00 IST,down,232.74,2026-06-23 11:15 IST,225.44,2026-06-23 12:10 IST
BAJAJINDEF,smallcap,792.96,engineering,industrials,True,,5,20,117.79,96.63,5.0,2.0,3.0,40.0,115.41,16.03,57.71,5.34,98.7,7.12,7.2,19.88,38.15,-3.64,10.49,1.41,2.13,29.84,69.31,-10.59,96.63,107.21,30.8,57.0,14.0,1.0,3.0,smallcap,792.96,engineering,industrials,buy,2026-06-23T00:00:00,250.0,up,260.0,2026-06-19 IST,225.5,2026-06-08 IST,up,256.0,2026-06-22 10:15 IST,240.0,2026-06-19 15:15 IST,up,255.0,2026-06-22 09:20 IST,240.0,2026-06-19 15:25 IST
SHANTI,smallcap,7.23,food - processing - indian,fmcg,True,,5,20,-6.73,-8.83,61.0,19.0,42.0,31.15,214.95,196.11,11.31,4.67,41.07,17.79,1.1,0.31,9.92,-3.96,2.5,0.14,0.14,55.0,-1.04,-76.91,-8.83,68.07,21.95,93.0,1.0,5.0,7.0,smallcap,7.23,food - processing - indian,fmcg,buy,2026-06-23T00:00:00,6.41,up,6.9,2026-06-19 IST,6.18,2026-06-15 IST,up,6.59,2026-06-23 11:30 IST,6.35,2026-06-23 09:15 IST,up,6.84,2026-06-23 09:15 IST,6.47,2026-06-22 09:15 IST
GUJTHEM,smallcap,4304.13,pharmaceuticals - indian - bulk drugs,healthcare,True,,5,40,63.76,48.02,4.0,3.0,1.0,75.0,60.34,14.19,20.11,14.19,29.5,14.19,4.25,11.54,24.18,-3.56,6.8,1.05,1.51,24.63,36.08,70.01,48.02,-21.99,63.0,95.0,17.0,2.0,1.0,smallcap,4304.13,pharmaceuticals - indian - bulk drugs,healthcare,buy,2026-06-23T00:00:00,401.4,down,397.75,2026-06-15 IST,369.5,2026-06-18 IST,down,413.95,2026-06-22 14:00 IST,397.6,2026-06-23 09:30 IST,down,413.95,2026-06-22 14:05 IST,400.0,2026-06-22 14:20 IST
CCCL,smallcap,670.59,construction,realty,True,,5,20,7503.26,7497.77,111.0,36.0,75.0,32.43,2374.64,523.86,65.96,6.98,1428.67,33.33,4.53,16.67,35.57,-6.12,5.81,0.37,1.24,75.48,26.15,-90.5,7497.77,7588.27,24.49,509.0,1.0,4.0,7.0,smallcap,670.59,construction,realty,buy,2026-06-23T00:00:00,15.79,up,15.94,2026-06-15 IST,14.3,2026-06-05 IST,down,16.34,2026-06-23 12:30 IST,15.41,2026-06-23 14:30 IST,up,16.0,2026-06-23 15:00 IST,15.41,2026-06-23 14:30 IST
21STCENMGM,smallcap,35.5,finance & investments,financials,True,,5,20,3105.55,3067.37,48.0,23.0,25.0,47.92,595.44,79.76,25.89,3.19,148.77,7.5,7.47,10.74,19.63,-1.99,9.86,2.55,4.92,27.49,50.91,9.44,3067.37,3057.93,26.06,117.0,1.0,6.0,7.0,smallcap,35.5,finance & investments,financials,buy,2026-06-23T00:00:00,33.21,down,35.5,2026-06-01 IST,30.74,2026-06-15 IST,down,34.45,2026-06-23 11:45 IST,33.18,2026-06-23 12:45 IST,down,34.45,2026-06-23 11:45 IST,33.18,2026-06-23 12:55 IST
SPCENET,smallcap,202.11,trading,services,True,,5,20,22527.25,22507.21,67.0,30.0,37.0,44.78,1883.55,325.23,62.79,8.79,986.11,22.45,5.79,23.26,43.92,-5.46,8.04,1.34,1.45,67.91,53.98,34.71,22507.21,22472.5,35.01,497.0,1.0,6.0,6.0,smallcap,202.11,trading,services,buy,2026-06-23T00:00:00,4.26,down,3.57,2026-06-15 IST,3.1,2026-06-17 IST,down,3.57,2026-06-19 11:15 IST,3.41,2026-06-19 13:15 IST,down,3.57,2026-06-19 11:25 IST,3.41,2026-06-19 13:15 IST
SABEVENTS,smallcap,9.16,entertainment / electronic media software,media,True,,5,20,7022.66,6999.63,60.0,22.0,38.0,36.67,1125.38,223.63,51.15,5.89,467.16,14.81,5.03,15.03,30.0,-4.78,6.28,1.54,2.07,63.8,55.05,-92.14,6999.63,7091.77,24.35,110.0,1.0,5.0,7.0,smallcap,9.16,entertainment / electronic media software,media,buy,2026-06-23T00:00:00,7.9,up,9.17,2026-06-03 IST,7.6,2026-06-01 IST,down,7.58,2026-06-22 09:30 IST,7.01,2026-06-22 10:00 IST,down,8.04,2026-06-18 09:20 IST,7.01,2026-06-22 10:10 IST
MEGASTAR,smallcap,348.86,food - processing - indian,fmcg,True,,20,30,336.5,319.99,19.0,13.0,6.0,68.42,190.69,26.66,14.67,4.44,37.96,9.53,7.15,8.63,18.59,-3.26,5.7,1.1,1.57,26.62,39.63,171.76,319.99,148.23,38.42,86.0,1.0,5.0,1.0,smallcap,348.86,food - processing - indian,fmcg,buy,2026-06-23T00:00:00,340.0,up,335.0,2026-06-16 IST,288.6,2026-06-10 IST,down,350.0,2026-06-23 13:45 IST,336.7,2026-06-23 14:30 IST,down,350.0,2026-06-23 13:55 IST,336.7,2026-06-23 14:35 IST
