symbol,marketcapname,market_cap,industry,sector
AFFORDABLE,smallcap,220.36,engineering,industrials
BOMDYEING,smallcap,2582.93,textiles - manmade,textiles
FELDVR,smallcap,10.24,trading,consumer discretionary
LATTEYS,smallcap,131.44,pumps,industrials
BAJAJHIND,smallcap,4444.02,sugar,fmcg
OSWALSEEDS,smallcap,101.07,miscellaneous,fmcg
XPROINDIA,smallcap,2705.9,packaging,industrials
GAYAHWS,smallcap,54.16,construction,realty
DENORA,smallcap,376.41,electrodes - graphites,industrials
EQUIPPP,smallcap,183.82,computers - software - medium / small,i.t
KCP,smallcap,2103.22,cement - south india,building materials
OAL,smallcap,1061.1,chemicals,chemicals
SUNDRMBRAK,smallcap,272.55,auto ancillaries,auto
MTNL,smallcap,1915.2,telecommunications - service provider,telecom
SUPREMEENG,smallcap,23.75,steel - medium / small,metals & mining
DCW,smallcap,1381.33,petrochemicals,energy
RPPL,smallcap,140.54,packaging,industrials
SPECTRUM,smallcap,2315.75,electric equipment,industrials
MADRASFERT,smallcap,1073.9,fertilizers,chemicals
CHEMBOND,smallcap,215.04,chemicals,chemicals
GOLDENTOBC,smallcap,43.14,construction,realty
KRITIKA,smallcap,164.29,steel - medium / small,metals & mining
AKI,smallcap,49.33,leather / leather products,consumer discretionary
GTL,smallcap,116.24,telecommunications - service provider,telecom-service
GHCL,smallcap,4192.2,chemicals,chemicals
AQYLON,smallcap,1512.23,entertainment / electronic media software,media
NDLVENTURE,smallcap,449.65,finance & investments,financials
IGPL,smallcap,1348.04,chemicals,chemicals
AWFIS,smallcap,2268.91,miscellaneous,co-working
INDORAMA,smallcap,1118.09,textiles - manmade,textiles
JISLJALEQS,smallcap,2105.96,plastics products,plastic products
KRONOX,smallcap,494.04,chemicals,chemicals
KSL,smallcap,3731.46,steel - medium / small,metals & mining
ISHANCH,smallcap,168.36,dyes and pigments,chemicals
LGBBROSLTD,smallcap,4781.31,bearings,auto
PATELENG,smallcap,2604.37,construction,realty
AFIL,smallcap,428.46,finance & investments,financials
MAJESAUT,smallcap,341.61,diversified - medium / small,miscellaneous
MIRCELECTR,smallcap,1515.99,electronics - consumer,consumer discretionary
STANLEY,smallcap,840.89,miscellaneous,consumer discretionary
MOREPENLAB,smallcap,2509.08,pharmaceuticals - indian - bulk drugs & formln,healthcare
ARMANFIN,smallcap,1670.5,finance & investments,financials
JAYKAY,smallcap,2316.63,engineering,aerospace & defence
NUCLEUS,smallcap,1934.12,computers - software - medium / small,i.t
ORIENTHOT,smallcap,1782.06,hotels,services
RAYMOND,smallcap,3541.06,transport - airlines,transportation
AMJLAND,smallcap,151.04,construction,realty
LINC,smallcap,598.46,printing & stationery,miscellaneous
RALLIS,smallcap,4626.41,pesticides / agrochemicals - indian,chemicals
RELINFRA,smallcap,2886.57,engineering - turnkey services,realty
SPMLINFRA,smallcap,1733.79,engineering - turnkey services,realty
SWARAJENG,smallcap,4614.28,engines,industrials
