symbol,marketcapname,market_cap,industry,sector,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses
AFFORDABLE,smallcap,220.36,engineering,industrials,True,,25.0,130.0,41.710468310570704,33.61398639603388,3.0,2.0,1.0,66.66666666666666,36.78340897777039,3.7610635713380858,18.391704488885196,3.7610635713380858,29.92544697904156,3.7610635713380858,9.780055104116158,11.007448468810765,16.174623343988145,-2.3904244458943382,6.766423164626177,0.5397654609691214,0.5179587474263397,8.966485543638337,242.377185496533,-2.2895966880168706,33.61398639603388,35.90358308405075,13.0,23.0,1.0,1.0,1.0
BOMDYEING,smallcap,2582.93,textiles - manmade,textiles,True,,5.0,10.0,31.6080257081612,23.514514146268596,49.0,19.0,30.0,38.775510204081634,48.37575847650639,25.65265541832822,2.5460925513950734,0.8550885139442739,12.06667302054958,3.54637510843121,1.8857992549942042,0.46373679710567706,1.8189025434814483,-0.6238025208114084,2.915830704107317,0.539567437459507,0.7134473489774672,9.398358935614715,145.20812362723808,13.036683591807119,23.514514146268596,10.477830554461477,0.6122448979591837,4.0,0.0,2.0,3.0
FELDVR,smallcap,10.24,trading,consumer discretionary,True,,20.0,100.0,10.21479046252182,6.227108978249762,1.0,1.0,0.0,100.0,6.227108978249762,0.0,6.227108978249762,0.0,6.227108978249762,0.0,,6.227108978249762,16.8498181294185,-4.761908920610103,3.538458716942381,0.2658454322848039,0.22251043555421976,11.912229079143755,29.248057102134517,-11.564630815325028,6.227108978249762,17.79173979357479,36.0,36.0,36.0,1.0,0.0
LATTEYS,smallcap,131.44,pumps,industrials,True,,45.0,80.0,38.635330475505086,31.858409804761358,4.0,2.0,2.0,50.0,40.674195720020556,9.142578843190229,20.337097860010278,4.5712894215951145,21.615593291658563,4.653286743674712,4.448875576316892,7.882904219207582,17.409956751377315,-2.782142557977904,6.257751494959729,0.45179471138291527,0.42832326294166706,18.35017044760526,223.67499011753398,8.807792897757395,31.858409804761358,23.050616907003963,8.25,20.0,1.0,1.0,1.0
BAJAJHIND,smallcap,4444.02,sugar,fmcg,True,,5.0,20.0,27.196924507361658,19.55940647492347,38.0,14.0,24.0,36.84210526315789,39.72657892294771,20.824055603103243,2.837612780210551,0.867668983462635,7.658880277559121,2.7111597992172554,1.9077253576401119,0.49743482420643337,1.8921669946434376,-0.6202860166794192,3.05047501275748,0.5091678688292125,0.6746841402680226,8.659790909046395,113.5528664124473,18.61161448681019,19.55940647492347,0.9477919881132806,0.9210526315789473,5.0,0.0,3.0,8.0
OSWALSEEDS,smallcap,101.07,miscellaneous,fmcg,True,,25.0,90.0,12.38953724718195,9.271021761661125,4.0,1.0,3.0,25.0,15.185179265601922,5.196534684856935,15.185179265601922,1.732178228285645,15.185179265601922,3.5714345183770813,2.9221741384412567,2.4971611451862468,7.365285014892169,-2.0842871646483077,3.5337189326956064,0.20790103236805502,0.15554083978841574,10.596433869688592,45.725090631067154,-10.081298795850513,9.271021761661125,19.35232055751164,6.5,21.0,0.0,1.0,3.0
XPROINDIA,smallcap,2705.9,packaging,industrials,True,,35.0,100.0,33.8225198077343,26.881048636940253,6.0,4.0,2.0,66.66666666666666,32.79271654201976,6.433049052119111,8.19817913550494,3.2165245260595556,22.438055209943684,3.8290293855743562,5.097538706193684,4.39327791498344,9.745180201245688,-2.0045343217246954,4.861568143598042,0.46276474471960316,0.6198220746226777,11.575922049691911,174.87526122988598,31.362200980301846,26.881048636940253,-4.481152343361593,9.333333333333334,33.0,1.0,2.0,1.0
GAYAHWS,smallcap,54.16,construction,realty,True,,50.0,160.0,2.525700937052598,1.378863658197016,4.0,1.0,3.0,25.0,10.747652774774341,8.688794042921021,10.747652774774341,2.896264680973674,10.747652774774341,3.7656965957120425,1.2369556375353061,0.51471468296333,9.99374219674899,-3.0544564742859186,3.2718561488375313,0.07645581859037212,0.05995875531274552,23.464677405281577,5.988620986087767,-5.439335093507458,1.378863658197016,6.8181987517044735,6.75,18.0,0.0,1.0,3.0
DENORA,smallcap,376.41,electrodes - graphites,industrials,True,,35.0,160.0,14.104367842090271,10.19796892289837,3.0,2.0,1.0,66.66666666666666,10.76066191777192,0.7446255271877922,5.38033095888596,0.7446255271877922,6.97577590103009,0.7446255271877922,14.451105320564864,3.338678796861375,9.784459101771096,-1.8454015891210798,5.30207579718797,0.2604265946127934,0.22177123958144693,13.922138304514187,51.048062873934576,8.620689805119742,10.19796892289837,1.5772791177786285,14.0,34.0,1.0,1.0,1.0
EQUIPPP,smallcap,183.82,computers - software - medium / small,i.t,True,,10.0,30.0,43.8108220554356,34.98885201542146,8.0,3.0,5.0,37.5,42.119796062119335,9.079430471783633,14.039932020706445,1.8158860943567265,19.58762467652908,4.357535172734927,4.639035035624321,4.130045698791963,9.230986871244497,-2.047399535360161,4.508639721665591,0.5881313360009428,0.4742901618201726,11.489006336816953,257.5916086681073,-0.48632170210161085,34.98885201542146,35.47517371752307,5.25,12.0,0.0,1.0,2.0
