symbol,marketcapname_x,market_cap_x,industry_x,sector_x,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses,marketcapname_y,market_cap_y,industry_y,sector_y,signal,signal_date,last_close,fib_1d_direction,fib_1d_swing_high,fib_1d_swing_high_at,fib_1d_swing_low,fib_1d_swing_low_at,fib_15m_direction,fib_15m_swing_high,fib_15m_swing_high_at,fib_15m_swing_low,fib_15m_swing_low_at,fib_5m_direction,fib_5m_swing_high,fib_5m_swing_high_at,fib_5m_swing_low,fib_5m_swing_low_at
BOMDYEING,smallcap,2582.93,textiles - manmade,textiles,True,,5,10,31.61,23.51,49.0,19.0,30.0,38.78,48.38,25.65,2.55,0.86,12.07,3.55,1.89,0.46,1.82,-0.62,2.92,0.54,0.71,9.4,145.21,13.04,23.51,10.48,0.61,4.0,0.0,2.0,3.0,smallcap,2582.93,textiles - manmade,textiles,sell,2026-06-22T15:15:00+05:30,138.07,up,136.65,2026-06-16 IST,121.53,2026-06-11 IST,up,140.9,2026-06-22 09:45 IST,133.4,2026-06-19 14:45 IST,up,140.9,2026-06-22 09:50 IST,133.4,2026-06-19 14:55 IST
TIRUMALCHM,smallcap,2247.59,chemicals,chemicals,True,,5,200,15.27,10.98,7.0,2.0,5.0,28.57,19.44,7.97,9.72,1.59,12.93,2.49,2.44,1.64,6.59,-1.41,4.67,0.29,0.31,8.92,55.63,2.01,10.98,8.97,7.71,22.0,1.0,2.0,3.0,smallcap,2247.59,chemicals,chemicals,buy,2026-06-22T15:15:00+05:30,174.8,up,180.48,2026-06-16 IST,162.8,2026-06-11 IST,up,177.4,2026-06-22 10:00 IST,166.56,2026-06-19 15:00 IST,up,177.4,2026-06-22 10:10 IST,169.62,2026-06-22 09:35 IST
KROSS,smallcap,1241.68,auto ancillaries,auto,True,,5,20,28.81,21.69,30.0,12.0,18.0,40.0,43.66,21.01,3.64,1.17,18.88,4.89,2.08,0.75,2.45,-0.91,2.69,0.48,0.56,9.5,130.16,-10.46,21.69,32.15,1.03,7.0,0.0,2.0,5.0,smallcap,1241.68,auto ancillaries,auto,sell,2026-06-22T15:15:00+05:30,195.14,down,195.0,2026-06-04 IST,175.43,2026-06-11 IST,up,201.5,2026-06-22 10:45 IST,187.3,2026-06-19 14:45 IST,up,201.5,2026-06-22 10:50 IST,187.3,2026-06-19 14:55 IST
SINDHUTRAD,smallcap,4062.98,miscellaneous,transportation,True,,5,10,12.02,8.62,59.0,14.0,45.0,23.73,38.89,28.93,2.78,0.64,15.17,2.13,1.34,0.17,1.51,-0.56,2.7,0.23,0.26,11.8,42.08,2.92,8.62,5.7,0.54,4.0,0.0,3.0,11.0,smallcap,4062.98,miscellaneous,transportation,sell,2026-06-22T15:15:00+05:30,25.16,down,27.08,2026-06-16 IST,24.5,2026-06-17 IST,up,26.32,2026-06-22 13:30 IST,24.81,2026-06-22 13:00 IST,down,26.32,2026-06-22 13:35 IST,25.13,2026-06-22 14:00 IST
BCG,smallcap,2123.49,computers - software - medium / small,i.t,True,,20,70,50.03,39.57,8.0,3.0,5.0,37.5,42.41,6.23,14.14,1.25,17.0,1.66,6.8,4.52,8.38,-1.48,5.66,0.7,0.8,9.21,312.01,25.83,39.57,13.74,5.25,19.0,0.0,2.0,4.0,smallcap,2123.49,computers - software - medium / small,i.t,buy,2026-06-22T15:15:00+05:30,10.36,up,11.4,2026-06-15 IST,10.05,2026-06-11 IST,down,11.05,2026-06-15 14:30 IST,10.37,2026-06-16 10:00 IST,down,10.94,2026-06-16 09:15 IST,10.32,2026-06-17 10:05 IST
INDOCO,smallcap,1911.84,pharmaceuticals - indian - bulk drugs & formln,healthcare,True,,10,20,29.84,23.18,23.0,8.0,15.0,34.78,40.5,17.63,5.06,1.18,14.54,3.4,2.3,0.99,3.35,-0.97,3.45,0.44,0.56,11.47,142.4,3.35,23.18,19.83,2.09,9.0,0.0,3.0,4.0,smallcap,1911.84,pharmaceuticals - indian - bulk drugs & formln,healthcare,sell,2026-06-22T15:15:00+05:30,235.35,down,261.71,2026-06-12 IST,228.62,2026-06-17 IST,up,242.0,2026-06-22 09:30 IST,233.1,2026-06-19 15:15 IST,up,242.0,2026-06-22 09:30 IST,233.1,2026-06-19 15:25 IST
DIGITIDE,smallcap,1320.84,computers - software - medium / small,i.t,True,,15,100,21.06,16.05,7.0,3.0,4.0,42.86,26.24,9.69,8.75,2.42,16.0,4.68,2.71,2.36,7.86,-1.78,4.41,0.33,0.37,10.91,88.19,-3.05,16.05,19.1,5.14,15.0,0.0,1.0,2.0,smallcap,1320.84,computers - software - medium / small,i.t,sell,2026-06-22T15:15:00+05:30,87.98,up,93.48,2026-06-18 IST,80.52,2026-06-11 IST,up,90.79,2026-06-22 09:15 IST,87.5,2026-06-19 15:00 IST,up,90.79,2026-06-22 09:20 IST,87.5,2026-06-19 15:00 IST
NAGREEKEXP,smallcap,85.53,textiles - cotton/blended,textiles,True,,30,50,34.95,28.07,5.0,2.0,3.0,40.0,43.68,11.98,21.84,3.99,41.09,5.35,3.65,6.34,13.81,-3.49,3.96,0.46,0.47,15.79,185.99,12.12,28.07,15.95,7.6,22.0,0.0,1.0,2.0,smallcap,85.53,textiles - cotton/blended,textiles,sell,2026-06-22T15:15:00+05:30,27.03,up,28.7,2026-06-18 IST,27.0,2026-06-02 IST,up,28.38,2026-06-22 09:45 IST,26.69,2026-06-22 09:30 IST,down,28.38,2026-06-22 09:50 IST,27.29,2026-06-22 10:05 IST
BESTAGRO,smallcap,584.85,pesticides / agrochemicals - indian,chemicals,True,,15,20,56.38,45.38,18.0,4.0,14.0,22.22,63.69,16.95,15.92,1.21,47.25,2.91,3.76,2.6,5.12,-1.24,4.12,0.73,0.79,10.88,389.96,2.01,45.38,43.37,1.94,16.0,0.0,1.0,5.0,smallcap,584.85,pesticides / agrochemicals - indian,chemicals,sell,2026-06-22T15:15:00+05:30,15.86,up,16.47,2026-06-15 IST,15.25,2026-06-11 IST,up,16.21,2026-06-22 09:15 IST,15.61,2026-06-19 09:30 IST,down,16.21,2026-06-22 09:15 IST,15.7,2026-06-22 09:15 IST
BILVYAPAR,smallcap,14.27,miscellaneous,miscellaneous,True,,10,30,24.87,14.86,1.0,1.0,0.0,100.0,14.86,0.0,14.86,0.0,14.86,0.0,,14.86,27.99,-1.54,18.13,0.67,0.28,10.26,80.14,-33.44,14.86,48.3,18.0,18.0,18.0,1.0,0.0,smallcap,14.27,miscellaneous,miscellaneous,buy,2026-06-22T15:15:00+05:30,4.35,down,6.64,2026-04-13 IST,3.82,2026-06-16 IST,up,4.54,2026-06-22 09:30 IST,4.25,2026-06-19 12:30 IST,down,4.52,2026-06-19 11:00 IST,4.25,2026-06-19 12:30 IST
