symbol,marketcapname,market_cap,industry,sector,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses
AFFORDABLE,smallcap,220.36,engineering,industrials,True,,40.0,150.0,13.172688578915226,1.2369308921242883,1.0,1.0,0.0,100.0,1.2369308921242883,0.0,1.2369308921242883,0.0,1.2369308921242883,0.0,,1.2369308921242883,1.2369308921242883,0.0,,0.7957171791193959,0.7957171791193959,0.0,0.763950236112998,-76.42095175276154,1.2369308921242883,77.65788264488583,4.0,4.0,4.0,1.0,0.0
BOMDYEING,smallcap,2582.93,textiles - manmade,textiles,True,,5.0,40.0,20328.117922058133,20318.46554793746,129.0,51.0,78.0,39.53488372093023,1272.9657447715724,478.9689750034048,24.960112642579848,6.140627884659036,103.974812697256,25.340826106204982,2.6577206691989255,6.1550137191330805,22.14043387426245,-5.075618372840623,4.362115558713947,0.6434916080449,0.799141321987981,62.62810551050081,19.103171866823242,222.78999904556903,20318.46554793746,20095.67554889189,43.04651162790697,183.0,1.0,6.0,7.0
FELDVR,smallcap,10.24,trading,consumer discretionary,True,,20.0,30.0,-82.86354743925138,-84.33748144467492,98.0,40.0,58.0,40.816326530612244,547.9761136000274,484.22413016896184,13.699402840000683,8.34869189946486,92.5660407486848,87.7177310368609,1.1316580059916064,0.6505304431741372,12.922524912707853,-7.991966535151513,1.616939317234374,0.09826226702823627,0.08179018710839794,98.71316477657281,-9.078194079300816,-99.06869896644655,-84.33748144467492,14.731217521771626,32.42857142857143,134.0,1.0,7.0,11.0
LATTEYS,smallcap,131.44,pumps,industrials,True,,5.0,20.0,318.6168679497774,307.9767649154749,46.0,18.0,28.0,39.130434782608695,553.0180698518585,253.3770598508786,30.72322610288103,9.04918070895995,103.52563604879049,54.71319957155426,2.182589340082047,6.513935000021302,18.87407208840119,-5.913853665937751,3.19150137195834,0.7093402022868308,0.40383395209592216,56.9938327273086,19.32275867070088,323.80592330079764,307.9767649154749,-15.829158385322728,30.41304347826087,133.0,1.0,3.0,6.0
BAJAJHIND,smallcap,4444.02,sugar,fmcg,True,,5.0,30.0,241444.0069137915,241440.13669024158,130.0,42.0,88.0,32.30769230769231,4295.642977020455,579.6034951639531,102.27721373858228,6.586403354135831,2803.4580320140835,28.725150654983235,7.4113476072212805,28.584919091203865,46.23384189322095,-5.402681913753449,8.557572448513914,0.25801490332766586,3.6813119887421033,75.0381787316689,37.57018139946784,12202.477868392625,241440.13669024158,229237.65882184895,31.515384615384615,173.0,0.0,5.0,8.0
OSWALSEEDS,smallcap,101.07,miscellaneous,fmcg,True,,50.0,150.0,349.01028927141766,337.4481439260737,6.0,2.0,4.0,33.33333333333333,468.02549645332596,43.393269983794895,234.01274822666298,10.848317495948724,437.82607825987697,20.75470557370536,10.785670142584527,70.77203774492183,117.77079998619202,-17.136192599326794,6.872635172810717,0.7708096896895958,0.657285801830214,42.88577110646594,20.48109861116163,131.6230408109687,337.4481439260737,205.82510311510504,236.0,653.0,91.0,1.0,2.0
XPROINDIA,smallcap,2705.9,packaging,industrials,True,,50.0,140.0,11834.3443521975,11822.858589238782,20.0,8.0,12.0,40.0,5111.624020289003,96.25495897033557,638.9530025361254,8.021246580861296,4810.435713085162,18.900677967458634,53.10504596302757,250.7684530659334,372.05233682828606,-9.993513732985205,37.22938165384886,0.7657175305812496,0.9427217259529941,68.03062851193387,24.145471329795786,10000.752392450007,11822.858589238782,1822.1061967887745,180.7,721.0,3.0,2.0,4.0
GAYAHWS,smallcap,54.16,construction,realty,True,,5.0,20.0,748.0141942373497,736.6829107301651,52.0,22.0,30.0,42.30769230769231,569.4829694222481,253.37524869099036,25.885589519193093,8.445841623033012,74.99999441206464,21.052630588288434,2.247587214474821,6.078994629447263,25.236664338864287,-7.055023058426685,3.5771200363010895,0.7554189004789704,0.7969476074162483,63.70370487985293,30.68779653849376,-78.26923006385033,736.6829107301651,814.9521407940153,23.442307692307693,62.0,1.0,10.0,9.0
DENORA,smallcap,376.41,electrodes - graphites,industrials,True,,20.0,50.0,13128.826841075359,13118.712227244529,62.0,30.0,32.0,48.38709677419355,1227.6553933179562,290.8799167416954,40.92184644393186,9.089997398177982,421.908246441714,32.70421215882252,4.220488671303244,15.109281880262266,40.98468419596133,-8.345171945401118,4.911185109678572,0.6743075887220774,0.9382855977283796,74.29047423537203,22.643858405702577,6632.648995263068,13118.712227244529,6486.06323198146,73.16129032258064,294.0,3.0,4.0,4.0
EQUIPPP,smallcap,183.82,computers - software - medium / small,i.t,True,,50.0,110.0,60.85823487967866,57.079039015264854,24.0,7.0,17.0,29.166666666666668,735.8576226989422,277.93386778269695,105.12251752842032,16.349051046040998,341.6666666666667,34.78260869565217,2.647599691860057,19.080156454843554,80.8577591448537,-17.08534850506999,4.732578859650394,0.2519463909609205,0.22057313460279948,83.12707489036794,2.383220332333358,-99.80879205912358,57.079039015264854,156.88783107438843,80.16666666666667,202.0,4.0,2.0,5.0
