symbol,marketcapname_x,market_cap_x,industry_x,sector_x,ok,error,best_short_ma,best_long_ma,optimization_score,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses,marketcapname_y,market_cap_y,industry_y,sector_y,signal,signal_date,last_close
ORIENTHOT,smallcap,1782.06,hotels,services,True,,50,160,3611.41,3602.03,13.0,8.0,5.0,61.54,696.13,50.05,87.02,10.01,276.71,19.61,13.91,49.7,86.74,-8.64,10.04,0.62,0.83,42.54,16.29,2352.25,3602.03,1249.78,351.46,888.0,65.0,2.0,2.0,smallcap,1782.06,hotels,services,buy,2026-06-25T00:00:00,139.32
RELINFRA,smallcap,2886.57,engineering - turnkey services,realty,True,,5,20,1532.18,1525.66,242.0,88.0,154.0,36.36,1377.29,816.0,15.65,5.3,144.38,27.9,1.69,2.32,12.58,-4.26,2.95,0.43,0.49,72.01,9.6,-16.65,1525.66,1542.3,22.51,109.0,1.0,4.0,8.0,smallcap,2886.57,engineering - turnkey services,realty,sell,2026-06-25T00:00:00,77.48
MODIRUBBER,smallcap,321.6,miscellaneous,miscellaneous,True,,10,20,117.47,110.73,53.0,15.0,38.0,28.3,399.38,187.08,26.63,4.92,233.78,18.47,2.13,4.01,16.67,-4.99,3.34,0.45,0.54,59.98,9.82,63.42,110.73,47.32,23.91,70.0,1.0,3.0,8.0,smallcap,321.6,miscellaneous,miscellaneous,buy,2026-06-25T00:00:00,131.31
KROSS,smallcap,1241.68,auto ancillaries,auto,True,,10,30,27.1,19.97,7.0,4.0,3.0,57.14,39.32,17.97,9.83,5.99,17.55,11.86,2.19,3.05,16.88,-4.26,3.96,0.48,0.6,23.16,11.19,-31.45,19.97,51.41,38.86,69.0,16.0,3.0,2.0,smallcap,1241.68,auto ancillaries,auto,buy,2026-06-25T00:00:00,189.46
SECMARK,smallcap,134.68,computers - software - medium / small,i.t,True,,5,20,48.68,41.1,20.0,9.0,11.0,45.0,121.61,69.85,13.51,6.35,46.79,13.65,1.74,2.59,12.94,-4.19,3.09,0.51,0.76,31.78,13.95,38.01,41.1,3.08,17.1,62.0,1.0,2.0,3.0,smallcap,134.68,computers - software - medium / small,i.t,sell,2026-06-25T00:00:00,123.5
CYBERTECH,smallcap,446.88,computers - software - medium / small,i.t,True,,40,200,2322.62,2319.38,19.0,12.0,7.0,63.16,773.81,123.01,64.48,17.57,329.01,38.08,6.29,34.25,649.51,-12.47,52.07,0.22,8.56,99.31,14.24,1626.17,2319.38,693.21,237.32,635.0,1.0,4.0,2.0,smallcap,446.88,computers - software - medium / small,i.t,buy,2026-06-25T00:00:00,151.12
VIRINCHI,smallcap,171.9,computers - software - medium / small,i.t,True,,50,60,34.98,28.32,9.0,5.0,4.0,55.56,40.37,12.2,8.07,3.05,24.73,6.34,3.31,3.13,9.95,-4.37,2.28,0.44,0.45,31.26,8.4,-57.99,28.32,86.31,34.78,109.0,1.0,3.0,2.0,smallcap,171.9,computers - software - medium / small,i.t,sell,2026-06-25T00:00:00,16.86
UNITECH,smallcap,1247.98,construction,realty,True,,5,20,405820.28,405804.51,168.0,51.0,117.0,30.36,2427.04,739.48,47.59,6.32,498.85,25.0,3.28,10.05,25.19,-5.47,4.61,1.05,1.34,83.67,41.51,474.78,405804.51,405329.73,23.1,141.0,1.0,6.0,11.0,smallcap,1247.98,construction,realty,sell,2026-06-25T00:00:00,4.77
RUCHINFRA,smallcap,146.34,miscellaneous,miscellaneous,True,,5,20,47829.96,47817.92,155.0,48.0,107.0,30.97,2379.69,631.47,49.58,5.9,811.36,20.83,3.77,11.28,24.19,-4.91,4.92,0.8,1.19,82.94,29.67,839.16,47817.92,46978.76,22.48,119.0,1.0,5.0,17.0,smallcap,146.34,miscellaneous,miscellaneous,sell,2026-06-25T00:00:00,6.24
JINDALPHOT,smallcap,1021.11,finance & investments,financials,True,,15,80,2572.55,2563.69,41.0,16.0,25.0,39.02,2209.96,274.34,138.12,10.97,1753.85,55.88,8.06,47.21,106.72,-8.71,12.26,0.59,0.81,88.96,16.78,1001.54,2563.69,1562.15,83.46,474.0,1.0,4.0,8.0,smallcap,1021.11,finance & investments,financials,buy,2026-06-25T00:00:00,1068.2
